,algo,returns
0,lstm,0.0
1,lstm,3.4612499999999997
2,lstm,0.0
3,lstm,-0.32375
4,lstm,0.0
5,lstm,15.421499999999998
6,lstm,0.0
7,lstm,-11.811849999999993
8,lstm,0.0
9,lstm,-4.977
10,lstm,9.081599999999991
11,lstm,7.922296199999983
12,lstm,3.591898399999991
13,lstm,-10.00117499999999
14,lstm,10.13309999999999
15,lstm,-1.8432000000000115
16,lstm,0.0
17,lstm,-0.6037499999999855
18,lstm,0.0
19,lstm,-2.5535999999999914
20,lstm,2.3712000000000115
21,lstm,-0.60775
22,lstm,4.872800000000032
23,lstm,10.887100000000007
24,lstm,5.460600000000006
25,lstm,0.0
26,lstm,6.453800000000003
27,lstm,0.0
28,lstm,-1.0585
29,lstm,8.213800000000017
30,lstm,-3.996305299999993
31,lstm,3.715652000000031
32,lstm,0.0
33,lstm,0.0
34,lstm,0.0
35,lstm,5.01
36,lstm,18.186350000000008
37,lstm,0.0
38,lstm,0.0
39,lstm,9.284700000000011
40,lstm,-18.52170000000001
41,lstm,0.0
42,lstm,-1.0541999999999971
43,lstm,-1.8270000000000002
44,lstm,-6.003604800000001
45,lstm,10.823700000000011
46,lstm,0.0
47,lstm,0.0
48,ann,15.799049999999973
49,ann,24.80524999999997
50,ann,18.869750000000042
51,ann,7.1443608000000385
52,ann,25.681155800000006
53,ann,17.18764999999998
54,ann,96.5066320000002
55,ann,5.9986000000000645
56,ann,-5.082931100000031
57,ann,-3.506449999999968
58,ann,-18.789900000000053
59,ann,-0.549046399999963
60,ann,-17.037191200000002
61,ann,-22.410924999999974
62,ann,6.535450000000026
63,ann,16.31697499999992
64,ann,5.494249200000079
65,ann,1.2420813999999665
66,ann,10.349150000000067
67,ann,2.1794647000000693
68,ann,19.122151699999986
69,ann,16.84864999999995
70,ann,-15.591749999999971
71,ann,-2.806950000000055
72,ann,-12.229899999999994
73,ann,8.792150000000008
74,ann,15.074949999999998
75,ann,7.724199999999983
76,ann,3.8922000000000114
77,ann,-17.119839999999954
78,ann,-3.7372802999999837
79,ann,15.768413999999947
80,ann,28.271226199999987
81,ann,-15.496650000000036
82,ann,4.539150000000023
83,ann,10.521649999999937
84,ann,8.570699999999983
85,ann,8.346150000000009
86,ann,3.032587099999946
87,ann,-21.41439999999998
88,ann,-8.431699999999998
89,ann,0.05449999999995634
90,ann,-9.113600000000007
91,ann,0.5905489999999991
92,ann,3.618032100000026
93,ann,8.803550000000017
94,ann,-5.768820999999996
95,ann,-72.16345000000003
96,pcaret,-22.980800000000006
97,pcaret,20.238950000000024
98,pcaret,-2.459450000000026
99,pcaret,6.647673500000019
100,pcaret,33.509070900000076
101,pcaret,-9.694700000000026
102,pcaret,18.370268000000085
103,pcaret,-19.156600000000008
104,pcaret,-7.8712414
105,pcaret,-7.967300000000018
106,pcaret,-7.655899999999995
107,pcaret,14.287345499999937
108,pcaret,-0.48077279999999156
109,pcaret,-20.157775000000054
110,pcaret,-8.571999999999926
111,pcaret,20.834799999999944
112,pcaret,31.293849900000087
113,pcaret,-24.03999990000004
114,pcaret,-5.930400000000067
115,pcaret,3.989845500000025
116,pcaret,18.072564399999987
117,pcaret,29.515000000000057
118,pcaret,-11.801699999999983
119,pcaret,-7.22739999999998
120,pcaret,-31.978700000000043
121,pcaret,-1.6686000000000205
122,pcaret,8.454749999999956
123,pcaret,34.3858000000001
124,pcaret,-6.475350000000006
125,pcaret,7.836040000000037
126,pcaret,2.866314800000022
127,pcaret,0.34320600000000556
128,pcaret,9.080896400000011
129,pcaret,11.86760000000005
130,pcaret,-0.33710000000000584
131,pcaret,19.698199999999968
132,pcaret,-8.499099999999991
133,pcaret,3.166649999999951
134,pcaret,16.928240000000034
135,pcaret,-4.637650000000009
136,pcaret,13.861449999999984
137,pcaret,2.7013499999999913
138,pcaret,-3.141650000000038
139,pcaret,-11.43420600000005
140,pcaret,31.13965350000004
141,pcaret,-11.176649999999965
142,pcaret,8.604161999999953
143,pcaret,-27.063149999999936
144,genetic,8.541950000000012
145,genetic,45.44830000000002
146,genetic,11.96849999999984
147,genetic,14.968064500000008
148,genetic,23.0244982
149,genetic,17.78330000000006
150,genetic,76.87317399999996
151,genetic,-10.897649999999937
152,genetic,2.305500100000034
153,genetic,-11.560749999999926
154,genetic,-19.371999999999943
155,genetic,27.777528999999934
156,genetic,-14.95319520000003
157,genetic,-33.86710000000005
158,genetic,-6.517
159,genetic,26.193899999999964
160,genetic,16.36568759999999
161,genetic,-21.295119099999997
162,genetic,19.82730000000002
163,genetic,7.843799999999988
164,genetic,20.275291600000024
165,genetic,38.25729999999996
166,genetic,-13.035699999999938
167,genetic,-5.2262000000000555
168,genetic,-19.54720000000001
169,genetic,16.30949999999997
170,genetic,-5.635600000000035
171,genetic,43.115949999999955
172,genetic,-15.635299999999988
173,genetic,-23.33036999999998
174,genetic,4.077849600000001
175,genetic,-7.976245000000054
176,genetic,30.376411400000023
177,genetic,-13.044049999999974
178,genetic,10.25164999999998
179,genetic,13.390450000000026
180,genetic,18.632499999999958
181,genetic,31.189699999999892
182,genetic,15.252995000000052
183,genetic,-12.249300000000046
184,genetic,2.157150000000023
185,genetic,12.30675000000003
186,genetic,10.690650000000096
187,genetic,2.1120210000000226
188,genetic,-10.46378539999998
189,genetic,-16.04350000000006
190,genetic,-2.7503530000000462
191,genetic,-76.93489999999998
